nome,eps
Maison Ikkoku,TV (96 eps)
Mo Dao Zu Shi Q,ONA (30 eps)
One Piece Movie 14: Stampede,Movie (1 eps)
One Piece: Episode of Merry - Mou Hitori no Nakama no Monogatari,TV Special (1 eps)
Senki Zesshou Symphogear XV,TV (13 eps)
Vanitas no Karte Part 2,TV (12 eps)
Stand By Me Doraemon 2,Movie (1 eps)
xxxHOLiC Rou,OVA (2 eps)
Yojouhan Time Machine Blues,ONA (6 eps)
Yoru wa Mijikashi Arukeyo Otome,Movie (1 eps)
Ballroom e Youkoso,TV (24 eps)
Chihayafuru,TV (25 eps)
Fate/stay night: Unlimited Blade Works,TV (12 eps)
Girls & Panzer Movie,Movie (1 eps)
Hachimitsu to Clover II,TV (12 eps)
Haikyuu!! Movie 3: Sainou to Sense,Movie (1 eps)
Hunter x Hunter: Greed Island,OVA (8 eps)
Initial D Second Stage,TV (13 eps)
Major S2,TV (26 eps)
Major S4,TV (26 eps)
Meitantei Conan Movie 20: Junkoku no Nightmare,Movie (1 eps)
Nomad: Megalo Box 2,TV (13 eps)
Non Non Biyori Repeat,TV (12 eps)
K-On!!,TV (26 eps)
Kotarou wa Hitorigurashi,ONA (10 eps)
Little Busters! Refrain,TV (13 eps)
Made in Abyss Movie 1: Tabidachi no Yoake,Movie (1 eps)
Meitantei Conan,TV (? eps)
No Game No Life: Zero,Movie (1 eps)
Yuukoku no Moriarty,TV (11 eps)
Bakuman.,TV (25 eps)
Black Lagoon: The Second Barrage,TV (12 eps)
Bungou Stray Dogs 2nd Season,TV (12 eps)
Cardcaptor Sakura,TV (70 eps)
Digimon Adventure: Last Evolution Kizuna,Movie (1 eps)
Ginga Eiyuu Densetsu: Die Neue These - Seiran 2,Movie (4 eps)
Girls & Panzer: Saishuushou Part 3,Movie (1 eps)
Initial D Fourth Stage,TV (24 eps)
Akira,Movie (1 eps)
Ao Ashi,TV (24 eps)
Aria the Natural,TV (26 eps)
Dr. Stone: Stone Wars,TV (11 eps)
Higurashi no Naku Koro ni Kai,TV (24 eps)
Holo no Graffiti,ONA (? eps)
Horimiya: Piece,TV (13 eps)
"Kamisama Hajimemashita: Kamisama, Shiawase ni Naru",OVA (1 eps)
Make Heroine ga Oosugiru!,TV (12 eps)
Natsume Yuujinchou: Ishi Okoshi to Ayashiki Raihousha,Movie (1 eps)
Ouran Koukou Host Club,TV (26 eps)
Sono Bisque Doll wa Koi wo Suru,TV (12 eps)
Tengen Toppa Gurren Lagann Movie 1: Gurren-hen,Movie (1 eps)
Yi Nian Yong Heng: Chuan Cheng Pian,ONA (54 eps)
Toaru Kagaku no Railgun T,TV (25 eps)
Dr. Stone: New World,TV (11 eps)
Fate/stay night Movie: Heaven's Feel - I. Presage Flower,Movie (1 eps)
Lupin III: Cagliostro no Shiro,Movie (1 eps)
Lycoris Recoil,TV (13 eps)
Non Non Biyori Nonstop: Bukatsu wo Ganbatta,OVA (1 eps)
Kaiba,TV (12 eps)
Kyoukai no Kanata Movie 2: I'll Be Here - Mirai-hen,Movie (1 eps)
Major: Message,OVA (1 eps)
Noragami Aragoto,TV (13 eps)
Ore dake Level Up na Ken: ReAwakening,Movie (1 eps)
Shinigami Bocchan to Kuro Maid 3rd Season,TV (12 eps)
Tensei shitara Slime Datta Ken,TV (24 eps)
Black Clover,TV (170 eps)
Death Parade,TV (12 eps)
Dr. Stone: Ryuusui,TV Special (1 eps)
Eiga Daisuki Pompo-san,Movie (1 eps)
Eizouken ni wa Te wo Dasu na!,TV (12 eps)
Ginga Eiyuu Densetsu Gaiden,OVA (24 eps)
Given: Uragawa no Sonzai,OVA (1 eps)
